Capacity assignment: 5000/860114 nodes (0.6%), 74 active communities
Capacity assignment: 10000/860114 nodes (1.2%), 74 active communities
Capacity assignment: 15000/860114 nodes (1.7%), 74 active communities
Capacity assignment: 20000/860114 nodes (2.3%), 74 active communities
Capacity assignment: 25000/860114 nodes (2.9%), 74 active communities
Capacity assignment: 30000/860114 nodes (3.5%), 74 active communities
Capacity assignment: 35000/860114 nodes (4.1%), 74 active communities
Capacity assignment: 40000/860114 nodes (4.7%), 74 active communities
Capacity assignment: 45000/860114 nodes (5.2%), 74 active communities
Capacity assignment: 50000/860114 nodes (5.8%), 74 active communities
Capacity assignment: 55000/860114 nodes (6.4%), 74 active communities
Capacity assignment: 60000/860114 nodes (7.0%), 74 active communities
Capacity assignment: 65000/860114 nodes (7.6%), 74 active communities
Capacity assignment: 70000/860114 nodes (8.1%), 74 active communities
Capacity assignment: 75000/860114 nodes (8.7%), 74 active communities
Capacity assignment: 80000/860114 nodes (9.3%), 74 active communities
Capacity assignment: 85000/860114 nodes (9.9%), 74 active communities
Capacity assignment: 90000/860114 nodes (10.5%), 74 active communities
Capacity assignment: 95000/860114 nodes (11.0%), 74 active communities
Capacity assignment: 100000/860114 nodes (11.6%), 74 active communities
Capacity assignment: 105000/860114 nodes (12.2%), 74 active communities
Capacity assignment: 110000/860114 nodes (12.8%), 74 active communities
Capacity assignment: 115000/860114 nodes (13.4%), 74 active communities
Capacity assignment: 120000/860114 nodes (14.0%), 74 active communities
Capacity assignment: 125000/860114 nodes (14.5%), 74 active communities
Capacity assignment: 130000/860114 nodes (15.1%), 74 active communities
Capacity assignment: 135000/860114 nodes (15.7%), 74 active communities
Capacity assignment: 140000/860114 nodes (16.3%), 74 active communities
Capacity assignment: 145000/860114 nodes (16.9%), 74 active communities
Capacity assignment: 150000/860114 nodes (17.4%), 74 active communities
Capacity assignment: 155000/860114 nodes (18.0%), 74 active communities
Capacity assignment: 160000/860114 nodes (18.6%), 74 active communities
Capacity assignment: 165000/860114 nodes (19.2%), 74 active communities
Capacity assignment: 170000/860114 nodes (19.8%), 74 active communities
Capacity assignment: 175000/860114 nodes (20.3%), 74 active communities
Capacity assignment: 180000/860114 nodes (20.9%), 74 active communities
Capacity assignment: 185000/860114 nodes (21.5%), 74 active communities
Capacity assignment: 190000/860114 nodes (22.1%), 74 active communities
Capacity assignment: 195000/860114 nodes (22.7%), 74 active communities
Capacity assignment: 200000/860114 nodes (23.3%), 74 active communities
Capacity assignment: 205000/860114 nodes (23.8%), 74 active communities
Capacity assignment: 210000/860114 nodes (24.4%), 74 active communities
Capacity assignment: 215000/860114 nodes (25.0%), 74 active communities
Capacity assignment: 220000/860114 nodes (25.6%), 74 active communities
Capacity assignment: 225000/860114 nodes (26.2%), 74 active communities
